Week,Temperature,Rain,Snow,PM10,PM2.5,COVID19,Time,BusStop,BusNumber,people
3,14.8,0.0,0.0,24,16,1,17,82570,5,1
3,12.7,0.0,0.0,24,19,1,18,82570,5,1
3,10.8,0.0,0.0,19,18,1,19,82570,5,1
3,10.4,0.0,0.0,33,11,1,20,82570,5,3
3,9.7,0.0,0.0,27,18,1,21,82570,5,2
3,8.9,0.0,0.0,29,16,1,22,82570,5,2
3,7.9,0.0,0.0,30,15,1,23,82570,5,0
3,7.2,0.0,0.0,23,18,1,0,82570,5,0
3,6.6,0.0,0.0,24,23,1,1,82570,5,0
3,5.7,0.0,0.0,29,23,1,2,82570,5,0
3,5.3,0.0,0.0,26,15,1,3,82570,5,0
4,4.7,0.0,0.0,25,22,1,4,82570,5,0
4,4.2,0.0,0.0,25,25,1,5,82570,5,0
4,3.9,0.0,0.0,23,23,1,6,82570,5,0
4,3.5,0.0,0.0,26,22,1,7,82570,5,1
4,4.2,0.0,0.0,24,25,1,8,82570,5,0
4,7.6,0.0,0.0,26,32,1,9,82570,5,0
4,10.8,0.0,0.0,46,32,1,10,82570,5,0
4,13.7,0.0,0.0,56,36,1,11,82570,5,1
4,16.2,0.0,0.0,54,22,1,12,82570,5,2
4,18.2,0.0,0.0,48,16,1,13,82570,5,2
4,19.3,0.0,0.0,30,10,1,14,82570,5,2
4,19.2,0.0,0.0,20,8,1,15,82570,5,3
4,18.9,0.0,0.0,26,12,1,16,82570,5,2
4,16.7,0.0,0.0,22,29,1,17,82570,5,3
4,14.8,0.0,0.0,40,20,1,18,82570,5,0
4,13.6,0.0,0.0,33,20,1,19,82570,5,1
4,12.1,0.0,0.0,33,16,1,20,82570,5,0
4,10.9,0.0,0.0,37,16,1,21,82570,5,0
4,10.0,0.0,0.0,34,39,1,22,82570,5,2
4,9.6,0.0,0.0,39,26,1,23,82570,5,0
4,8.9,0.0,0.0,35,21,1,0,82570,5,0
4,8.7,0.0,0.0,34,19,1,1,82570,5,0
4,7.9,0.0,0.0,31,22,1,2,82570,5,0
4,7.4,0.0,0.0,25,17,1,3,82570,5,0
5,6.9,0.0,0.0,20,19,1,4,82570,5,0
5,6.5,0.0,0.0,17,5,1,5,82570,5,0
5,6.1,0.0,0.0,15,12,1,6,82570,5,1
5,5.8,0.0,0.0,11,16,1,7,82570,5,0
5,6.5,0.0,0.0,16,15,1,8,82570,5,0
5,9.6,0.0,0.0,20,24,1,9,82570,5,0
5,13.2,0.0,0.0,27,14,1,10,82570,5,3
5,14.2,0.0,0.0,30,12,1,11,82570,5,0
5,17.1,0.0,0.0,25,7,1,12,82570,5,3
5,18.8,0.0,0.0,28,7,1,13,82570,5,0
5,19.8,0.0,0.0,24,14,1,14,82570,5,1
5,19.4,0.0,0.0,27,17,1,15,82570,5,2
5,19.5,0.0,0.0,24,7,1,16,82570,5,1
5,17.4,0.0,0.0,15,13,1,17,82570,5,2
5,15.5,0.0,0.0,21,15,1,18,82570,5,2
5,13.7,0.0,0.0,20,13,1,19,82570,5,2
5,13.0,0.0,0.0,25,18,1,20,82570,5,1
5,13.2,0.0,0.0,28,16,1,21,82570,5,1
5,12.9,0.0,0.0,37,23,1,22,82570,5,1
5,13.1,0.0,0.0,28,24,1,23,82570,5,0
5,12.6,0.0,0.0,29,27,1,0,82570,5,0
5,12.6,0.0,0.0,37,33,1,1,82570,5,0
5,12.5,0.0,0.0,31,25,1,2,82570,5,0
5,12.3,0.0,0.0,33,25,1,3,82570,5,0
6,12.3,0.0,0.0,32,27,1,4,82570,5,0
6,12.3,0.0,0.0,29,20,1,5,82570,5,0
6,12.2,0.0,0.0,30,29,1,6,82570,5,1
6,12.1,0.0,0.0,28,24,1,7,82570,5,0
6,12.3,0.0,0.0,26,23,1,8,82570,5,1
6,12.3,0.1,0.0,29,20,1,9,82570,5,0
6,12.3,0.0,0.0,27,21,1,10,82570,5,0
6,12.3,0.0,0.0,26,7,1,11,82570,5,0
6,11.9,1.8,0.0,17,4,1,12,82570,5,3
6,12.4,0.0,0.0,13,1,1,13,82570,5,1
6,12.9,0.0,0.0,11,3,1,14,82570,5,2
6,13.2,0.8,0.0,12,3,1,15,82570,5,1
6,13.3,0.0,0.0,10,5,1,16,82570,5,1
6,13.1,0.0,0.0,9,6,1,17,82570,5,2
6,13.1,1.0,0.0,11,7,1,18,82570,5,0
6,13.0,0.0,0.0,9,4,1,19,82570,5,1
6,13.0,0.0,0.0,8,2,1,20,82570,5,0
6,13.2,0.0,0.0,8,1,1,21,82570,5,2
6,13.0,0.0,0.0,17,2,1,22,82570,5,0
6,12.6,0.0,0.0,11,4,1,23,82570,5,0
6,12.5,0.0,0.0,9,6,1,0,82570,5,0
6,12.2,0.0,0.0,11,8,1,1,82570,5,0
6,11.5,0.0,0.0,11,9,1,2,82570,5,0
6,10.9,0.0,0.0,13,11,1,3,82570,5,0
0,10.4,0.0,0.0,8,10,1,4,82570,5,0
0,10.2,0.0,0.0,11,3,1,5,82570,5,0
0,9.6,0.0,0.0,10,13,1,6,82570,5,0
0,9.0,0.0,0.0,12,3,1,7,82570,5,0
0,9.2,0.0,0.0,9,3,1,8,82570,5,0
0,10.6,0.0,0.0,9,6,1,9,82570,5,0
0,12.5,0.0,0.0,22,17,1,10,82570,5,0
0,15.1,0.0,0.0,39,14,1,11,82570,5,0
0,15.9,0.0,0.0,68,4,1,12,82570,5,1
0,16.8,0.0,0.0,54,7,1,13,82570,5,2
0,17.2,0.0,0.0,36,1,1,14,82570,5,1
0,17.7,0.0,0.0,22,5,1,15,82570,5,5
0,16.3,0.0,0.0,25,7,1,16,82570,5,2
0,14.0,0.0,0.0,21,4,1,17,82570,5,3
0,11.8,0.0,0.0,16,2,1,18,82570,5,3
0,10.1,0.0,0.0,19,10,1,19,82570,5,4
0,9.1,0.0,0.0,23,5,1,20,82570,5,4
0,8.2,0.0,0.0,20,10,1,21,82570,5,2
0,6.8,0.0,0.0,14,11,1,22,82570,5,0
0,6.5,0.0,0.0,20,13,1,23,82570,5,1
0,5.9,0.0,0.0,20,11,1,0,82570,5,0
0,5.9,0.0,0.0,18,5,1,1,82570,5,0
0,6.5,0.0,0.0,19,18,1,2,82570,5,0
0,7.1,0.0,0.0,21,11,1,3,82570,5,0
1,6.8,0.0,0.0,19,14,1,4,82570,5,0
1,6.6,0.0,0.0,15,10,1,5,82570,5,0
1,5.6,0.3,0.0,16,5,1,6,82570,5,0
1,4.2,0.0,0.0,20,9,1,7,82570,5,0
1,4.7,0.0,0.0,14,4,1,8,82570,5,0
1,7.3,0.0,0.0,15,7,1,9,82570,5,0
1,7.9,0.0,0.0,19,4,1,10,82570,5,0
1,8.5,0.0,0.0,17,1,1,11,82570,5,0
1,9.1,0.0,0.0,22,3,1,12,82570,5,4
1,10.0,0.0,0.0,27,6,1,13,82570,5,3
1,9.6,0.0,0.0,27,5,1,14,82570,5,3
1,9.9,0.0,0.0,22,11,1,15,82570,5,2
1,9.1,0.0,0.0,23,10,1,16,82570,5,5
1,7.7,0.0,0.0,22,6,1,17,82570,5,2
1,6.3,0.0,0.0,17,6,1,18,82570,5,2
1,5.5,0.0,0.0,15,7,1,19,82570,5,2
1,4.5,0.0,0.0,15,8,1,20,82570,5,0
1,4.2,0.0,0.0,12,8,1,21,82570,5,0
1,2.9,0.0,0.0,12,12,1,22,82570,5,0
1,2.4,0.0,0.0,12,10,1,23,82570,5,0
1,2.2,0.0,0.0,12,12,1,0,82570,5,0
1,2.4,0.0,0.0,15,10,1,1,82570,5,0
1,1.7,0.0,0.0,14,15,1,2,82570,5,0
1,1.0,0.0,0.0,13,16,1,3,82570,5,0
2,0.6,0.0,0.0,15,9,1,4,82570,5,0
2,0.2,0.0,0.0,11,16,1,5,82570,5,0
2,0.0,0.0,0.0,14,11,1,6,82570,5,0
2,-0.4,0.0,0.0,12,10,1,7,82570,5,1
2,-0.1,0.0,0.0,16,14,1,8,82570,5,0
2,3.6,0.0,0.0,17,19,1,9,82570,5,1
2,6.4,0.0,0.0,0,0,1,10,82570,5,1
2,7.8,0.0,0.0,0,0,1,11,82570,5,0
2,9.0,0.0,0.0,37,1,1,12,82570,5,2
2,10.5,0.0,0.0,34,1,1,13,82570,5,3
2,11.7,0.0,0.0,26,6,1,14,82570,5,2
2,11.9,0.0,0.0,28,3,1,15,82570,5,2
2,11.8,0.0,0.0,25,6,1,16,82570,5,1
2,9.4,0.0,0.0,28,10,1,17,82570,5,2
